关键词ID	关键词（原规范词）	搜索量（US原值）	原清洗状态	建议URL	URL ID	优先级	URL处理状态	与URL主词关系	原任务组ID	原页面代表词	原归并关系	原分类	URL分类	搜索意图分组	同页分区	KD	CPC_USD	原工具Intent	原搜索量状态	原来源类型	原来源记录ID	原来源位置	原始拼写	原翻译/纠错记录	原清洗依据	本次URL判断依据	本版交付状态	本版页面模板	本版必须交付
K0826	piano beginner chords	390	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	同义词合并	guide	guide	学习弹奏步骤	beginner	31	2.03	I	Semrush US原词估算	Semrush US 单词数据	S0432	piano_keyword_research_combined.xlsx｜关键词数据!A437:G437	piano beginner chords		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
K0830	piano chord namer	390	保留	/chords/finder	U086	后做	有规划URL	URL主词的原同义词	P153	chord finder piano	同义词合并	chords	chords	识别和弦		20	0	I	Semrush US原词估算	Semrush US 单词数据	S0433	piano_keyword_research_combined.xlsx｜关键词数据!A438:G438	piano chord namer		同一对象与同一交付任务；人工词义归并	输入音符求名称与已知和弦查图的输入输出不同，保留独立工具页	按页面准备顺序验收	T09	选择音符；列出可能命名、低音与拼写说明
K0831	piano chords cheat sheet	390	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		24	0.87	I	Semrush US原词估算	Semrush US 单词数据	S0434	piano_keyword_research_combined.xlsx｜关键词数据!A439:G439	piano chords cheat sheet		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0849	piano progression chords	390	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		20	1.18	I	Semrush US原词估算	Semrush US 单词数据	S0437	piano_keyword_research_combined.xlsx｜关键词数据!A442:G442	piano progression chords		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0879	what are chord progressions	390	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P237	what are chord progressions	页面代表词	guide	chord_progressions	查和弦走向	how-it-works	24	0.21	I	Semrush US原词估算	Semrush US 单词数据	S0439	piano_keyword_research_combined.xlsx｜关键词数据!A444:G444	what are chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	说明走向是什么，附可试弹例子。
K0888	am in piano	320	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		22	0	I	Semrush US原词估算	Semrush US 单词数据	S0442	piano_keyword_research_combined.xlsx｜关键词数据!A447:G447	am in piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0891	b chords piano	320	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		16	0	I	Semrush US原词估算	Semrush US 单词数据	S0443	piano_keyword_research_combined.xlsx｜关键词数据!A448:G448	b chords piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0895	basic piano chord	320	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	同义词合并	guide	guide	学习弹奏步骤	beginner	28	2.13	I	Semrush US原词估算	Semrush US 单词数据	S0445	piano_keyword_research_combined.xlsx｜关键词数据!A450:G450	basic piano chord		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
K0909	chord progression piano	320	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		29	1.55	I	Semrush US原词估算	Semrush US 单词数据	S0447	piano_keyword_research_combined.xlsx｜关键词数据!A452:G452	chord progression piano		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0910	chord sheets for piano	320	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		20	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0448	piano_keyword_research_combined.xlsx｜关键词数据!A453:G453	chord sheets for piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0911	chords for key of a	320	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	27	0	I	Semrush US原词估算	Semrush US 单词数据	S0449	piano_keyword_research_combined.xlsx｜关键词数据!A454:G454	chords for key of a		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0913	chords in key a	320	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	20	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0451	piano_keyword_research_combined.xlsx｜关键词数据!A456:G456	chords in key a		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0914	chords in the key of g piano	320	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P156	chords in g major scale piano	同义词合并	chords	chords	查调内和弦	g-major	22	0	I	Semrush US原词估算	Semrush US 单词数据	S0820	piano_keyword_research_combined.xlsx｜关键词数据!A825:G825	chords in the key of g piano		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查G大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0920	common chord patterns	320	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向	common	25	0.35	I	Semrush US原词估算	Semrush US 单词数据	S0452	piano_keyword_research_combined.xlsx｜关键词数据!A457:G457	common chord patterns		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
K0921	common chord sequences	320	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向	common	26	0.35	I	Semrush US原词估算	Semrush US 单词数据	S0453	piano_keyword_research_combined.xlsx｜关键词数据!A458:G458	common chord sequences		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
K0922	cool chord sequences	320	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P177	beautiful chord progressions piano	同页补充/条件/问题（非同义）	chord_progressions	chord_progressions	查和弦走向	beautiful	18	0.86	I	Semrush US原词估算	Semrush US 单词数据	S0454	piano_keyword_research_combined.xlsx｜关键词数据!A459:G459	cool chord sequences		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	查询优美钢琴和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K0925	d major scale chords piano	320	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P157	d major scale piano chords	同义词合并	chords	chords	查调内和弦	d-major	14	0	I	Semrush US原词估算	Semrush US 单词数据	S0247	piano_keyword_research_combined.xlsx｜关键词数据!A252:G252	d major scale chords piano		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查D大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0927	d minor scale piano chords	320	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P165	d minor scale piano chords	页面代表词	chords	chords	查调内和弦	d-minor	8	0	I	Semrush US原词估算	Semrush US 单词数据	S0249	piano_keyword_research_combined.xlsx｜关键词数据!A254:G254	d minor scale piano chords		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查D小调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0939	easy piano chord chart	320	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位		28	1.61	I	Semrush US原词估算	Semrush US 单词数据; Google Related	S0455; S2306	piano_keyword_research_combined.xlsx｜关键词数据!A460:G460; Google 第2批 图10	easy piano chord chart		可由同一任务页的说明/FAQ覆盖；不是同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0986	key chords	320	保留	/chords/by-key	U085	后做	有规划URL	URL主词的原同义词	P152	chords of key	同义词合并	chords	chords	查调内和弦		20	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0456	piano_keyword_research_combined.xlsx｜关键词数据!A461:G461	key chords		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	按页面准备顺序验收	T08	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务
K0988	keyboard chords chart	320	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		23	1.54	I	Semrush US原词估算	Semrush US 单词数据	S0457	piano_keyword_research_combined.xlsx｜关键词数据!A462:G462	keyboard chords chart		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1009	major and minor chords piano	320	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P238	major and minor chords piano	页面代表词	guide	chords	查和弦键位	major-vs-minor	20	0	I	Semrush US原词估算	Semrush US 单词数据	S0261	piano_keyword_research_combined.xlsx｜关键词数据!A266:G266	major and minor chords piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	大小和弦对比包含音图/示例和区别，不用类型筛选器代替解释。
K1010	major chords in piano	320	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P158	major chords piano	同义词合并	chords	chords	查和弦键位	major	29	1.17	I	Semrush US原词估算	Semrush US 单词数据	S0262	piano_keyword_research_combined.xlsx｜关键词数据!A267:G267	major chords in piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	major 选择后显示经过核对的实际和弦结果。
K1015	minor piano chord	320	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P154	minor chords piano	同义词合并	chords	chords	查和弦键位	minor	21	0	I	Semrush US原词估算	Semrush US 单词数据	S0459	piano_keyword_research_combined.xlsx｜关键词数据!A464:G464	minor piano chord		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	minor 选择后显示经过核对的实际和弦结果。
K1040	piano a minor chord	320	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		17	0	I	Semrush US原词估算	Semrush US 单词数据	S0460	piano_keyword_research_combined.xlsx｜关键词数据!A465:G465	piano a minor chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1043	piano chord b	320	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		15	0	I	Semrush US原词估算	Semrush US 单词数据	S0461	piano_keyword_research_combined.xlsx｜关键词数据!A466:G466	piano chord b		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1044	piano chord chart for beginners	320	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位		20	1.61	I	Semrush US原词估算	Semrush US 单词数据	S0463	piano_keyword_research_combined.xlsx｜关键词数据!A468:G468	piano chord chart for beginners		可由同一任务页的说明/FAQ覆盖；不是同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1045	piano chord charts	320	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		19	1.54	I	Semrush US原词估算	Semrush US 单词数据	S0464	piano_keyword_research_combined.xlsx｜关键词数据!A469:G469	piano chord charts		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1047	piano chords in the key of f	320	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P164	key of f chords piano	同义词合并	chords	chords	查调内和弦	f-major	19	0	I	Semrush US原词估算	Semrush US 单词数据	S0466	piano_keyword_research_combined.xlsx｜关键词数据!A471:G471	piano chords in the key of f		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查F大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K1048	piano chords sheet	320	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		27	1.06	I	Semrush US原词估算	Semrush US 单词数据	S0467	piano_keyword_research_combined.xlsx｜关键词数据!A472:G472	piano chords sheet		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1049	piano chords table	320	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		29	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0468	piano_keyword_research_combined.xlsx｜关键词数据!A473:G473	piano chords table		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1086	printable piano chord chart	320	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P148	piano chord chart	同页补充/条件/问题（非同义）	chords	chords	查和弦键位		18	0.84	I	Semrush US原词估算	Semrush US 单词数据	S0472	piano_keyword_research_combined.xlsx｜关键词数据!A477:G477	printable piano chord chart		可由同一任务页的说明/FAQ覆盖；不是同义词	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1117	what chord is this piano	320	保留	/chords/finder	U086	后做	有规划URL	URL主词的原同义词	P153	chord finder piano	同义词合并	chords	chords	识别和弦		25	0	I	Semrush US原词估算	Semrush US 单词数据	S0474	piano_keyword_research_combined.xlsx｜关键词数据!A479:G479	what chord is this piano		同一对象与同一交付任务；人工词义归并	输入音符求名称与已知和弦查图的输入输出不同，保留独立工具页	按页面准备顺序验收	T09	选择音符；列出可能命名、低音与拼写说明
K1119	a chords piano	260	保留	/chords/a-major	U076	先做	有规划URL	URL主词的原同义词	P149	a chord piano	同义词合并	chords	chords	查和弦键位		11	0.58	I	Semrush US原词估算	Semrush US 单词数据	S0476	piano_keyword_research_combined.xlsx｜关键词数据!A481:G481	a chords piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1120	a minor chord for piano	260	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		16	0	I	Semrush US原词估算	Semrush US 单词数据	S0477	piano_keyword_research_combined.xlsx｜关键词数据!A482:G482	a minor chord for piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1124	all chords on piano	260	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		29	1.69	I	Semrush US原词估算	Semrush US 单词数据	S0479	piano_keyword_research_combined.xlsx｜关键词数据!A484:G484	all chords on piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1127	beautiful chord progressions piano	260	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P177	beautiful chord progressions piano	页面代表词	chord_progressions	chord_progressions	查和弦走向	beautiful	18	0	I	Semrush US原词估算	Semrush US 单词数据	S0482	piano_keyword_research_combined.xlsx｜关键词数据!A487:G487	beautiful chord progressions piano		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	查询优美钢琴和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K1130	c minor in piano	260	保留	/chords/c-minor	U082	后做	有规划URL	URL主关键词	P166	c minor in piano	页面代表词	chords	chords	查和弦键位		26	0	I	Semrush US原词估算	Semrush US 单词数据	S0483	piano_keyword_research_combined.xlsx｜关键词数据!A488:G488	c minor in piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1132	cb piano chord	260	保留	/chords/c-flat-major	U083	后做	有规划URL	URL主关键词	P167	cb piano chord	页面代表词	chords	chords	查和弦键位		10	0	I	Semrush US原词估算	Semrush US 单词数据	S0484	piano_keyword_research_combined.xlsx｜关键词数据!A489:G489	cb piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K1133	chords for a major	260	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	19	0	I	Semrush US原词估算	Semrush US 单词数据	S0486	piano_keyword_research_combined.xlsx｜关键词数据!A491:G491	chords for a major		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K1134	chords in key	260	保留	/chords/by-key	U085	后做	有规划URL	URL主词的原同义词	P152	chords of key	同义词合并	chords	chords	查调内和弦		19	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0487	piano_keyword_research_combined.xlsx｜关键词数据!A492:G492	chords in key		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	按页面准备顺序验收	T08	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务
K1135	chords in the key of c piano	260	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P159	c major scale chords piano	同义词合并	chords	chords	查调内和弦	c-major	13	0	I	Semrush US原词估算	Semrush US 单词数据	S0908	piano_keyword_research_combined.xlsx｜关键词数据!A913:G913	chords in the key of c piano		同义表达；保留全部来源	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查C大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K1140	full piano chord chart	260	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		18	1.38	I	Semrush US原词估算	Semrush US 单词数据	S0489	piano_keyword_research_combined.xlsx｜关键词数据!A494:G494	full piano chord chart		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1143	happy chord progressions	260	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P178	happy chord progressions	页面代表词	chord_progressions	chord_progressions	查和弦走向	happy	24	0	I	Semrush US原词估算	Semrush US 单词数据	S0490	piano_keyword_research_combined.xlsx｜关键词数据!A495:G495	happy chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	愉快情绪和弦走向；必须在该页提供实际结果，不只增加一个关键词。
K1161	how to make chord progressions	260	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P237	what are chord progressions	同义词合并	guide	chord_progressions	查和弦走向	how-it-works	16	1.14	I	Semrush US原词估算	Semrush US 单词数据	S0493	piano_keyword_research_combined.xlsx｜关键词数据!A498:G498	how to make chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	说明走向是什么，附可试弹例子。
K1163	key and chord chart	260	保留	/chords/by-key	U085	后做	有规划URL	URL主词的原同义词	P152	chords of key	同义词合并	chords	chords	查调内和弦		21	0	I	Semrush US原词估算	Semrush US 单词数据	S0494	piano_keyword_research_combined.xlsx｜关键词数据!A499:G499	key and chord chart		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	按页面准备顺序验收	T08	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务
K1166	keyboard chords piano	260	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		24	2.54	I	Semrush US原词估算	Semrush US 单词数据	S0495	piano_keyword_research_combined.xlsx｜关键词数据!A500:G500	keyboard chords piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K1172	major and minor chords for piano	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P238	major and minor chords piano	同义词合并	guide	chords	查和弦键位	major-vs-minor	29	0	I	Semrush US原词估算	Semrush US 单词数据	S0496	piano_keyword_research_combined.xlsx｜关键词数据!A501:G501	major and minor chords for piano		同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	大小和弦对比包含音图/示例和区别，不用类型筛选器代替解释。
K1173	major chord piano	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P158	major chords piano	同义词合并	chords	chords	查和弦键位	major	22	1.17	I	Semrush US原词估算	Semrush US 单词数据	S0497	piano_keyword_research_combined.xlsx｜关键词数据!A502:G502	major chord piano		同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	major 选择后显示经过核对的实际和弦结果。
K1174	major piano chord	260	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P158	major chords piano	同义词合并	chords	chords	查和弦键位	major	24	1.58	I	Semrush US原词估算	Semrush US 单词数据	S0498	piano_keyword_research_combined.xlsx｜关键词数据!A503:G503	major piano chord		同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	major 选择后显示经过核对的实际和弦结果。
K1176	most common chord progression	260	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向	common	19	0.08	I	Semrush US原词估算	Semrush US 单词数据	S0499	piano_keyword_research_combined.xlsx｜关键词数据!A504:G504	most common chord progression		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
K1179	name chord piano	260	保留	/chords/finder	U086	后做	有规划URL	URL主词的原同义词	P153	chord finder piano	同义词合并	chords	chords	识别和弦		31	0	I	Semrush US原词估算	Semrush US 单词数据	S0500	piano_keyword_research_combined.xlsx｜关键词数据!A505:G505	name chord piano		同一对象与同一交付任务；人工词义归并	输入音符求名称与已知和弦查图的输入输出不同，保留独立工具页	按页面准备顺序验收	T09	选择音符；列出可能命名、低音与拼写说明
K1182	naming chords piano	260	保留	/chords/finder	U086	后做	有规划URL	同页其他任务/查询；原归并关系另存	P153	chord finder piano	同页补充/条件/问题（非同义）	chords	chords	识别和弦		27	0	I	Semrush US原词估算	Semrush US 单词数据	S0501	piano_keyword_research_combined.xlsx｜关键词数据!A506:G506	naming chords piano		可由同一任务页的说明/FAQ覆盖；不是同义词	输入音符求名称与已知和弦查图的输入输出不同，保留独立工具页	按页面准备顺序验收	T09	选择音符；列出可能命名、低音与拼写说明
